iter	Passed	Remaining
0	8	8608
1	17	8594
2	24	8097
3	32	8210
4	40	8020
5	49	8162
6	56	7997
7	64	7950
8	71	7849
9	78	7806
10	87	7862
11	94	7818
12	103	7824
13	110	7799
14	119	7815
15	126	7770
16	135	7807
17	143	7844
18	151	7799
19	158	7759
20	167	7789
21	174	7758
22	182	7760
23	189	7724
24	199	7797
25	209	7846
26	216	7815
27	226	7848
28	235	7892
29	244	7905
30	251	7861
31	259	7848
32	266	7815
33	275	7815
34	284	7856
35	294	7874
36	301	7844
37	309	7829
38	316	7797
39	324	7783
40	331	7752
41	339	7733
42	347	7741
43	355	7724
44	363	7723
45	375	7782
46	384	7798
47	395	7850
48	406	7893
49	416	7914
50	427	7954
51	437	7980
52	450	8041
53	461	8085
54	471	8098
55	481	8109
56	491	8130
57	500	8123
58	510	8144
59	520	8153
60	529	8154
61	540	8176
62	549	8176
63	560	8201
64	570	8205
65	579	8202
66	590	8224
67	600	8230
68	610	8235
69	620	8248
70	629	8242
71	640	8255
72	650	8257
73	661	8275
74	671	8286
75	681	8289
76	692	8297
77	702	8303
78	711	8298
79	722	8307
80	732	8311
81	741	8299
82	751	8305
83	761	8302
84	770	8297
85	780	8293
86	790	8291
87	800	8295
88	809	8288
89	820	8291
90	830	8291
91	839	8282
92	849	8287
93	859	8287
94	871	8298
95	881	8302
96	890	8292
97	901	8298
98	913	8313
99	923	8309
100	935	8322
101	948	8346
102	959	8353
103	969	8352
104	979	8351
105	990	8354
106	1003	8375
107	1016	8392
108	1029	8415
109	1040	8419
110	1053	8435
111	1068	8470
112	1079	8476
113	1092	8494
114	1104	8496
115	1116	8505
116	1130	8533
117	1143	8550
118	1154	8548
119	1168	8569
120	1180	8576
121	1192	8580
122	1202	8571
123	1213	8573
124	1227	8589
125	1236	8575
126	1247	8575
127	1257	8563
128	1266	8553
129	1279	8564
130	1297	8609
131	1308	8602
132	1318	8596
133	1335	8629
134	1346	8629
135	1358	8627
136	1367	8611
137	1378	8610
138	1388	8598
139	1398	8591
140	1411	8597
141	1424	8605
142	1435	8602
143	1446	8601
144	1458	8598
145	1471	8609
146	1483	8610
147	1501	8643
148	1516	8659
149	1530	8673
150	1543	8675
151	1552	8661
152	1561	8644
153	1572	8636
154	1581	8621
155	1592	8615
156	1605	8620
157	1615	8608
158	1625	8597
159	1635	8588
160	1645	8573
161	1656	8568
162	1668	8568
163	1678	8558
164	1689	8551
165	1701	8549
166	1715	8559
167	1732	8578
168	1743	8575
169	1754	8565
170	1764	8555
171	1775	8545
172	1787	8545
173	1799	8542
174	1820	8580
175	1831	8575
176	1842	8567
177	1853	8557
178	1864	8552
179	1875	8545
180	1887	8539
181	1901	8548
182	1914	8546
183	1925	8537
184	1936	8530
185	1946	8517
186	1955	8502
187	1967	8495
188	1976	8481
189	1987	8473
190	1998	8464
191	2008	8452
192	2020	8446
193	2031	8439
194	2040	8422
195	2049	8408
196	2059	8396
197	2068	8379
198	2080	8375
199	2092	8368
200	2102	8357
201	2114	8353
202	2127	8352
203	2139	8346
204	2149	8337
205	2161	8329
206	2174	8329
207	2184	8318
208	2197	8317
209	2208	8309
210	2222	8309
211	2232	8299
212	2243	8290
213	2255	8285
214	2265	8273
215	2280	8277
216	2298	8292
217	2314	8300
218	2330	8309
219	2343	8308
220	2356	8305
221	2370	8305
222	2382	8301
223	2395	8299
224	2408	8296
225	2421	8293
226	2432	8284
227	2444	8276
228	2458	8276
229	2471	8272
230	2481	8260
231	2494	8258
232	2508	8258
233	2520	8250
234	2531	8241
235	2544	8236
236	2555	8227
237	2565	8213
238	2576	8203
239	2589	8201
240	2601	8194
241	2618	8202
242	2628	8188
243	2638	8174
244	2646	8154
245	2657	8144
246	2665	8127
247	2674	8110
248	2684	8098
249	2694	8082
250	2703	8067
251	2711	8047
252	2721	8034
253	2729	8015
254	2738	8000
255	2749	7991
256	2757	7972
257	2767	7959
258	2775	7940
259	2785	7927
260	2795	7914
261	2803	7897
262	2812	7881
263	2821	7864
264	2829	7847
265	2837	7828
266	2847	7815
267	2856	7800
268	2866	7789
269	2877	7778
270	2887	7766
271	2898	7758
272	2908	7746
273	2919	7734
274	2929	7723
275	2940	7713
276	2952	7707
277	2966	7705
278	2979	7700
279	2990	7689
280	2999	7674
281	3010	7664
282	3020	7652
283	3030	7639
284	3043	7636
285	3053	7623
286	3064	7612
287	3077	7607
288	3088	7597
289	3099	7588
290	3113	7585
291	3125	7578
292	3135	7566
293	3148	7559
294	3159	7551
295	3169	7538
296	3178	7522
297	3187	7509
298	3196	7494
299	3206	7482
300	3217	7471
301	3226	7456
302	3236	7445
303	3246	7433
304	3257	7423
305	3267	7411
306	3277	7398
307	3288	7388
308	3298	7375
309	3308	7363
310	3318	7351
311	3329	7342
312	3341	7335
313	3354	7329
314	3370	7330
315	3382	7320
316	3392	7308
317	3403	7300
318	3414	7289
319	3427	7282
320	3437	7270
321	3449	7263
322	3461	7255
323	3473	7246
324	3485	7238
325	3497	7230
326	3508	7220
327	3518	7209
328	3528	7195
329	3535	7177
330	3543	7161
331	3550	7144
332	3559	7130
333	3568	7114
334	3577	7102
335	3585	7086
336	3596	7075
337	3604	7059
338	3612	7044
339	3620	7027
340	3629	7014
341	3639	7003
342	3648	6989
343	3659	6978
344	3667	6963
345	3678	6953
346	3688	6941
347	3697	6926
348	3705	6912
349	3714	6898
350	3724	6886
351	3731	6869
352	3741	6858
353	3749	6841
354	3759	6829
355	3767	6815
356	3778	6805
357	3786	6791
358	3795	6776
359	3803	6761
360	3810	6745
361	3819	6731
362	3827	6715
363	3835	6701
364	3844	6687
365	3853	6675
366	3861	6659
367	3869	6645
368	3877	6630
369	3887	6619
370	3895	6604
371	3902	6588
372	3910	6572
373	3918	6558
374	3925	6541
375	3933	6527
376	3941	6513
377	3949	6499
378	3958	6485
379	3966	6471
380	3976	6460
381	3986	6448
382	3993	6433
383	4002	6419
384	4009	6404
385	4017	6390
386	4024	6375
387	4033	6361
388	4043	6350
389	4053	6340
390	4062	6327
391	4071	6314
392	4078	6299
393	4087	6286
394	4094	6270
395	4101	6256
396	4109	6241
397	4117	6228
398	4125	6214
399	4134	6201
400	4141	6186
401	4151	6175
402	4159	6161
403	4168	6150
404	4176	6136
405	4186	6124
406	4195	6113
407	4204	6101
408	4214	6089
409	4221	6074
410	4230	6061
411	4237	6047
412	4245	6033
413	4252	6019
414	4260	6005
415	4267	5991
416	4276	5978
417	4283	5963
418	4291	5950
419	4300	5938
420	4307	5924
421	4315	5910
422	4324	5899
423	4331	5884
424	4341	5873
425	4348	5858
426	4356	5845
427	4364	5832
428	4373	5821
429	4383	5811
430	4394	5801
431	4405	5792
432	4413	5779
433	4422	5767
434	4429	5753
435	4441	5745
436	4448	5731
437	4458	5720
438	4465	5706
439	4474	5694
440	4481	5681
441	4490	5668
442	4497	5654
443	4506	5643
444	4513	5629
445	4522	5617
446	4529	5603
447	4538	5592
448	4546	5579
449	4555	5568
450	4563	5555
451	4573	5544
452	4581	5532
453	4590	5520
454	4598	5508
455	4608	5497
456	4626	5496
457	4634	5484
458	4643	5472
459	4651	5460
460	4658	5446
461	4665	5433
462	4674	5421
463	4681	5407
464	4688	5394
465	4695	5381
466	4704	5369
467	4712	5356
468	4720	5345
469	4728	5331
470	4737	5320
471	4744	5307
472	4752	5295
473	4759	5282
474	4768	5270
475	4775	5257
476	4784	5246
477	4792	5233
478	4800	5221
479	4808	5209
480	4817	5198
481	4825	5186
482	4836	5177
483	4843	5164
484	4853	5153
485	4861	5141
486	4870	5130
487	4877	5117
488	4885	5105
489	4896	5096
490	4903	5083
491	4912	5071
492	4919	5059
493	4927	5047
494	4936	5035
495	4944	5024
496	4951	5011
497	4959	4999
498	4966	4986
499	4974	4974
500	4982	4962
501	4989	4949
502	4998	4939
503	5006	4927
504	5015	4916
505	5023	4904
506	5033	4894
507	5042	4883
508	5050	4871
509	5058	4859
510	5065	4847
511	5073	4835
512	5080	4823
513	5087	4810
514	5096	4799
515	5104	4787
516	5113	4777
517	5120	4764
518	5129	4753
519	5136	4741
520	5146	4731
521	5154	4719
522	5163	4709
523	5170	4697
524	5178	4685
525	5186	4673
526	5194	4662
527	5201	4650
528	5211	4639
529	5221	4630
530	5228	4618
531	5237	4607
532	5247	4597
533	5256	4586
534	5263	4574
535	5271	4563
536	5278	4550
537	5286	4539
538	5294	4528
539	5303	4517
540	5310	4505
541	5319	4494
542	5326	4483
543	5335	4472
544	5342	4460
545	5350	4448
546	5360	4438
547	5367	4427
548	5375	4415
549	5382	4403
550	5391	4393
551	5398	4381
552	5407	4370
553	5414	4359
554	5424	4349
555	5432	4338
556	5440	4327
